,_startDate,_endDate,_value
95841,2020-01-07 04:18:41 +0200,2020-01-07 07:04:07 +0200,HKCategoryValueSleepAnalysisAsleep
95842,2020-01-07 03:15:14 +0200,2020-01-07 11:52:12 +0200,HKCategoryValueSleepAnalysisInBed
95843,2020-01-07 07:31:41 +0200,2020-01-07 12:21:11 +0200,HKCategoryValueSleepAnalysisAsleep
95844,2020-01-08 04:37:13 +0200,2020-01-08 07:33:02 +0200,HKCategoryValueSleepAnalysisAsleep
95845,2020-01-08 03:11:53 +0200,2020-01-08 10:38:53 +0200,HKCategoryValueSleepAnalysisInBed
95846,2020-01-08 08:10:17 +0200,2020-01-08 11:21:00 +0200,HKCategoryValueSleepAnalysisAsleep
95847,2020-01-09 04:28:00 +0200,2020-01-09 10:06:57 +0200,HKCategoryValueSleepAnalysisInBed
95848,2020-01-09 05:30:16 +0200,2020-01-09 10:53:23 +0200,HKCategoryValueSleepAnalysisAsleep
95849,2020-01-09 10:07:22 +0200,2020-01-09 11:08:23 +0200,HKCategoryValueSleepAnalysisInBed
95850,2020-01-09 11:07:47 +0200,2020-01-09 12:08:23 +0200,HKCategoryValueSleepAnalysisAsleep
95851,2020-01-10 05:51:42 +0200,2020-01-10 08:20:03 +0200,HKCategoryValueSleepAnalysisAsleep
95852,2020-01-10 04:29:08 +0200,2020-01-10 12:32:53 +0200,HKCategoryValueSleepAnalysisInBed
95853,2020-01-10 08:36:11 +0200,2020-01-10 13:11:55 +0200,HKCategoryValueSleepAnalysisAsleep
95854,2020-01-12 08:24:02 +0200,2020-01-12 11:38:11 +0200,HKCategoryValueSleepAnalysisAsleep
95855,2020-01-12 07:21:23 +0200,2020-01-12 13:57:37 +0200,HKCategoryValueSleepAnalysisInBed
95856,2020-01-12 12:13:50 +0200,2020-01-12 14:57:37 +0200,HKCategoryValueSleepAnalysisAsleep
95857,2020-01-13 04:34:29 +0200,2020-01-13 12:34:53 +0200,HKCategoryValueSleepAnalysisInBed
95858,2020-01-13 05:37:41 +0200,2020-01-13 13:10:52 +0200,HKCategoryValueSleepAnalysisAsleep
95859,2020-01-14 05:39:11 +0200,2020-01-14 08:58:34 +0200,HKCategoryValueSleepAnalysisAsleep
95860,2020-01-14 03:45:48 +0200,2020-01-14 11:36:47 +0200,HKCategoryValueSleepAnalysisInBed
95861,2020-01-14 09:26:49 +0200,2020-01-14 12:21:05 +0200,HKCategoryValueSleepAnalysisAsleep
95862,2020-01-16 07:03:53 +0200,2020-01-16 10:31:46 +0200,HKCategoryValueSleepAnalysisAsleep
95863,2020-01-16 06:01:08 +0200,2020-01-16 12:54:09 +0200,HKCategoryValueSleepAnalysisInBed
95864,2020-01-16 10:57:55 +0200,2020-01-16 13:39:00 +0200,HKCategoryValueSleepAnalysisAsleep
95865,2020-01-18 07:13:50 +0200,2020-01-18 10:42:34 +0200,HKCategoryValueSleepAnalysisAsleep
