,_startDate,_endDate,_value
92580,2021-02-27 14:58:30 +0200,2021-02-27 14:59:21 +0200,0
92581,2021-02-27 15:13:59 +0200,2021-02-27 15:14:48 +0200,0
92582,2021-02-27 15:16:07 +0200,2021-02-27 15:16:25 +0200,0
92583,2021-02-27 15:17:00 +0200,2021-02-27 15:21:59 +0200,0
92584,2021-02-27 15:21:59 +0200,2021-02-27 15:26:57 +0200,0
92585,2021-02-27 15:28:39 +0200,2021-02-27 15:30:22 +0200,0.05
92586,2021-02-27 15:30:52 +0200,2021-02-27 15:35:52 +0200,0
92587,2021-02-27 15:35:52 +0200,2021-02-27 15:40:51 +0200,0
92588,2021-02-27 15:40:51 +0200,2021-02-27 15:45:50 +0200,0
92589,2021-02-27 15:54:10 +0200,2021-02-27 15:57:21 +0200,0.01
92590,2021-02-27 16:01:28 +0200,2021-02-27 16:02:19 +0200,0
92591,2021-02-27 16:19:22 +0200,2021-02-27 16:22:20 +0200,0.01
92592,2021-02-27 16:23:41 +0200,2021-02-27 16:26:27 +0200,0
92593,2021-02-27 16:29:55 +0200,2021-02-27 16:34:55 +0200,0
92594,2021-02-27 16:34:55 +0200,2021-02-27 16:38:02 +0200,0.01
92595,2021-02-27 16:38:29 +0200,2021-02-27 16:39:27 +0200,0
92596,2021-02-27 16:39:47 +0200,2021-02-27 16:42:03 +0200,0
92597,2021-02-27 16:42:24 +0200,2021-02-27 16:43:25 +0200,0
92598,2021-02-27 16:55:37 +0200,2021-02-27 16:59:13 +0200,0
92599,2021-02-27 16:59:23 +0200,2021-02-27 17:04:22 +0200,0
92600,2021-02-27 17:04:22 +0200,2021-02-27 17:09:21 +0200,0.01
92601,2021-02-27 17:12:56 +0200,2021-02-27 17:14:47 +0200,0.03
92602,2021-02-27 17:21:39 +0200,2021-02-27 17:25:39 +0200,0
92603,2021-02-27 17:26:23 +0200,2021-02-27 17:27:59 +0200,0.08
92604,2021-02-27 17:28:15 +0200,2021-02-27 17:30:36 +0200,0.08
92605,2021-02-27 17:31:21 +0200,2021-02-27 17:33:43 +0200,0.07
92606,2021-02-27 17:34:22 +0200,2021-02-27 17:36:25 +0200,0.2
92607,2021-02-27 17:39:11 +0200,2021-02-27 17:44:11 +0200,0.01
92608,2021-02-27 17:44:28 +0200,2021-02-27 17:45:50 +0200,0.04
92609,2021-02-27 17:46:28 +0200,2021-02-27 17:47:25 +0200,0
92610,2021-02-27 17:47:50 +0200,2021-02-27 17:48:20 +0200,0.06
92611,2021-02-27 17:58:37 +0200,2021-02-27 17:59:51 +0200,0.02
92612,2021-02-27 18:06:00 +0200,2021-02-27 18:06:46 +0200,0
92613,2021-02-27 18:07:41 +0200,2021-02-27 18:10:43 +0200,0
92614,2021-02-27 18:14:30 +0200,2021-02-27 18:14:51 +0200,0
92615,2021-02-27 18:16:14 +0200,2021-02-27 18:17:02 +0200,0
92616,2021-02-27 18:21:09 +0200,2021-02-27 18:22:05 +0200,0
92617,2021-02-27 18:22:35 +0200,2021-02-27 18:24:56 +0200,0
92618,2021-02-27 18:25:18 +0200,2021-02-27 18:25:54 +0200,0
92619,2021-02-27 18:28:48 +0200,2021-02-27 18:31:47 +0200,0
92620,2021-02-27 18:32:21 +0200,2021-02-27 18:33:45 +0200,0
92621,2021-02-27 19:07:38 +0200,2021-02-27 19:07:59 +0200,0.46
92622,2021-02-27 21:34:31 +0200,2021-02-27 21:39:30 +0200,0
92623,2021-02-27 22:01:14 +0200,2021-02-27 22:01:38 +0200,0
92624,2021-02-27 22:02:26 +0200,2021-02-27 22:05:21 +0200,0
92625,2021-02-28 12:13:58 +0200,2021-02-28 12:14:09 +0200,0
92626,2021-02-28 18:44:58 +0200,2021-02-28 18:48:00 +0200,0
92627,2021-02-28 19:19:28 +0200,2021-02-28 19:19:50 +0200,0
92628,2021-03-01 02:29:35 +0200,2021-03-01 02:29:49 +0200,0
92629,2021-03-01 09:42:59 +0200,2021-03-01 09:43:26 +0200,0
92630,2021-03-01 10:02:49 +0200,2021-03-01 10:04:21 +0200,0
92631,2021-03-01 10:04:32 +0200,2021-03-01 10:08:41 +0200,0
92632,2021-03-01 12:48:32 +0200,2021-03-01 12:48:47 +0200,0
92633,2021-03-01 12:52:01 +0200,2021-03-01 12:52:32 +0200,0.41
92634,2021-03-01 12:57:25 +0200,2021-03-01 12:57:48 +0200,0
92635,2021-03-01 13:13:33 +0200,2021-03-01 13:13:59 +0200,0
92636,2021-03-01 13:32:07 +0200,2021-03-01 13:32:42 +0200,0
92637,2021-03-01 13:33:05 +0200,2021-03-01 13:33:38 +0200,0
92638,2021-03-01 14:50:56 +0200,2021-03-01 14:51:24 +0200,0.06
92639,2021-03-01 14:55:42 +0200,2021-03-01 14:56:26 +0200,0.04
92640,2021-03-01 15:36:18 +0200,2021-03-01 15:36:29 +0200,0
92641,2021-03-01 15:41:44 +0200,2021-03-01 15:42:06 +0200,0
92642,2021-03-01 15:56:02 +0200,2021-03-01 15:56:22 +0200,0
92643,2021-03-01 17:57:50 +0200,2021-03-01 17:59:05 +0200,0
