,acc_x,acc_y,acc_z,acc_abs,labelWalkingStandingstill,labelSitting,labelWalking
1970-01-01 00:00:00.018529375,0.06134033446390839,-0.09481433601217532,0.02289954150236057,1.9263592935280875,0,0,0
1970-01-01 00:00:05.018529375,-0.3903701329257685,-0.37640685722357287,0.10954732614605589,1.81561034146008,0,0,0
1970-01-01 00:00:10.018529375,-0.08277340258832036,-0.0457729429246513,0.016342579101244512,0.4897644880537924,0,0,0
1970-01-01 00:00:15.018529375,-0.019798179109051395,-0.0011945720355492026,0.018932857973982926,0.3097111833721713,0,0,0
1970-01-01 00:00:20.018529375,-0.01772873174485848,-0.01219063507023282,-0.004498991283248202,0.5532545274848901,0,0,0
1970-01-01 00:00:25.018529375,-0.029394971382325327,-0.18043202170061923,0.2452721330256527,2.3814406732636133,0,0,0
1970-01-01 00:00:30.018529375,-0.012014278669908422,0.005182189991681932,0.011396403519611176,0.20459030612506987,0,0,0
1970-01-01 00:00:35.018529375,-0.0064838455253486025,0.007698705039173705,0.008309359591875499,0.14863489774659364,0,0,0
1970-01-01 00:00:40.018529375,0.013300959346437725,0.012504997780383031,-0.007133531023483634,0.4826978546159681,0,0,0
1970-01-01 00:00:45.018529375,0.008818887354802398,0.011738984520192815,-0.0038282335018101814,0.23866396842725948,0,0,0
1970-01-01 00:00:50.018529375,0.013136631727259889,0.022442883487985028,0.008514231938294205,0.3954215123952615,0,0,0
1970-01-01 00:00:55.018529375,-0.025879332995446213,0.021032355493377893,-0.023133881166161552,0.7670591779256176,0,0,0
1970-01-01 00:01:00.018529375,0.008714741560143716,0.02350295917790499,-0.009665240251320161,0.4660070408483034,0,0,0
1970-01-01 00:01:05.018529375,0.040630105065154784,0.03826764437522203,0.02288947370279242,0.3896473418706187,0,0,0
1970-01-01 00:01:10.018529375,-0.01973881919298346,0.01689882247100099,-0.025255719411496822,0.4223751020994621,0,0,0
1970-01-01 00:01:15.018529375,-0.05482849969001536,0.0073189516618199614,0.010285804589033132,0.36335077566696605,0,0,0
1970-01-01 00:01:20.018529375,-0.04918695663466067,0.008409644119103193,-0.009687904633305194,0.37177640759510977,0,0,0
1970-01-01 00:01:25.018529375,0.0415804637714052,0.037387291788307186,-0.023224993624755087,0.570386132378523,0,0,0
1970-01-01 00:01:30.018529375,-0.023097270002001197,0.017645175287147173,-0.0047490188336115485,0.6024847150323506,0,0,0
1970-01-01 00:01:35.018529375,0.03140163659689023,0.045684877115682226,-0.0023189798430059655,0.8975382136917365,0,0,0
1970-01-01 00:01:40.018529375,0.07222961914623152,0.056149529258379245,-0.0692360306337563,0.6261421368598602,0,0,0
1970-01-01 00:01:45.018529375,0.05201119113953029,0.08273157869219125,-8.884430946055617e-05,0.33267287752988045,0,0,0
1970-01-01 00:01:50.018529375,0.04683808750888263,0.04575994439310199,0.01042154625736491,0.49442832679057885,0,0,0
1970-01-01 00:01:55.018529375,-0.03534570609966067,0.021196255945364707,0.0356084069579036,0.4914064611987625,0,0,0
