,acc_x,acc_y,acc_z,acc_abs,labelWalkingStandingstill,labelSitting,labelWalking
1970-01-01 00:00:00.018529375,0.06134033446390839,-0.09481433601217533,0.02289954150236057,1.9263592935280875,0,0,0
1970-01-01 00:00:05.018529375,-0.3903701329257685,-0.3764068572235729,0.10954732614605588,1.8156103414600802,0,0,0
1970-01-01 00:00:10.018529375,-0.08277340258832036,-0.0457729429246513,0.016342579101244512,0.4897644880537924,0,0,0
1970-01-01 00:00:15.018529375,-0.019798179109051395,-0.0011945720355492026,0.018932857973982926,0.3097111833721713,0,0,0
1970-01-01 00:00:20.018529375,-0.01772873174485848,-0.01219063507023282,-0.004498991283248203,0.5532545274848901,0,0,0
1970-01-01 00:00:25.018529375,-0.029394971382325327,-0.18043202170061926,0.2452721330256527,2.3814406732636133,0,0,0
1970-01-01 00:00:30.018529375,-0.012014278669908422,0.005182189991681932,0.011396403519611176,0.20459030612506987,0,0,0
1970-01-01 00:00:35.018529375,-0.0064838455253486025,0.007698705039173704,0.008309359591875499,0.14863489774659366,0,0,0
1970-01-01 00:00:40.018529375,0.013300959346437723,0.012504997780383031,-0.0071335310234836346,0.4826978546159681,0,0,0
1970-01-01 00:00:45.018529375,0.008818887354802398,0.011738984520192815,-0.0038282335018101814,0.2386639684272595,0,0,0
1970-01-01 00:00:50.018529375,0.013136631727259887,0.022442883487985028,0.008514231938294205,0.3954215123952615,0,0,0
1970-01-01 00:00:55.018529375,-0.025879332995446213,0.02103235549337789,-0.023133881166161552,0.7670591779256176,0,0,0
1970-01-01 00:01:00.018529375,0.008714741560143716,0.02350295917790499,-0.00966524025132016,0.4660070408483034,0,0,0
1970-01-01 00:01:05.018529375,0.040630105065154784,0.03826764437522203,0.02288947370279242,0.3896473418706187,0,0,0
1970-01-01 00:01:10.018529375,-0.01973881919298346,0.01689882247100099,-0.025255719411496826,0.4223751020994621,0,0,0
1970-01-01 00:01:15.018529375,-0.05482849969001536,0.007318951661819962,0.01028580458903313,0.3633507756669661,0,0,0
1970-01-01 00:01:20.018529375,-0.04918695663466067,0.008409644119103193,-0.009687904633305194,0.37177640759510977,0,0,0
1970-01-01 00:01:25.018529375,0.0415804637714052,0.03738729178830719,-0.023224993624755087,0.570386132378523,0,0,0
1970-01-01 00:01:30.018529375,-0.0230972700020012,0.017645175287147173,-0.004749018833611549,0.6024847150323506,0,0,0
1970-01-01 00:01:35.018529375,0.03140163659689023,0.04568487711568223,-0.002318979843005965,0.8975382136917365,0,0,0
1970-01-01 00:01:40.018529375,0.07222961914623152,0.05614952925837925,-0.0692360306337563,0.6261421368598602,0,0,0
1970-01-01 00:01:45.018529375,0.05201119113953029,0.08273157869219125,-8.884430946055617e-05,0.33267287752988045,0,0,0
1970-01-01 00:01:50.018529375,0.04683808750888263,0.045759944393101985,0.01042154625736491,0.4944283267905789,0,0,0
1970-01-01 00:01:55.018529375,-0.035345706099660666,0.02119625594536471,0.0356084069579036,0.4914064611987625,0,0,0
1970-01-01 00:02:00.018529375,-0.02189496961978243,0.013631457454963672,-0.06641459104822954,0.8604521562505989,0,0,0
1970-01-01 00:02:05.018529375,-0.02560866892497529,0.0239264220714229,-0.002555271259562368,0.4990660588583067,0,0,0
1970-01-01 00:02:10.018529375,-0.02450273209845409,0.027608484195906183,-0.04021777248276387,0.4097340327391018,0,0,0
1970-01-01 00:02:15.018529375,0.05049727156652493,0.05727897557043692,0.07087375557091719,0.4823944867045908,0,0,0
1970-01-01 00:02:20.018529375,-0.0033101041148529114,0.0532305840307996,-0.003149390259211577,0.7209002627702196,0,0,0
1970-01-01 00:02:25.018529375,-0.0787509297824243,-0.28183320452329125,0.03824938113935658,2.019805825481474,0,0,0
1970-01-01 00:02:30.018529375,-0.030618257496461077,-0.3073141201889002,0.07903094410277882,2.0656425647722747,0,0,0
1970-01-01 00:02:35.018529375,0.06238608135877846,0.08700125272703234,0.06683525233559083,0.8041063939696207,0,0,0
1970-01-01 00:02:40.018529375,0.07483329440712176,0.08373986374143272,-0.005954950692769058,0.5326610249112376,0,0,0
1970-01-01 00:02:45.018529375,-0.01647417891466115,0.048803984621474096,0.014734613114504785,0.6037008832829283,0,0,0
1970-01-01 00:02:50.018529375,0.045419963813440135,0.07227118747868247,0.048100571367153684,0.6791354378822155,0,0,0
1970-01-01 00:02:55.018529375,-0.09260852245754693,-0.01807842835869899,-0.10847125654512994,0.8706477818627745,0,0,0
1970-01-01 00:03:00.018529375,-0.0018692276302403254,0.03638979998532978,0.012644946463588623,0.6571723669534529,0,0,0
1970-01-01 00:03:05.018529375,-0.02138038654633467,0.027806435200205454,-0.010314062125517935,0.6169267035113147,0,0,0
1970-01-01 00:03:10.018529375,0.05889653366356866,0.06549860268611576,-0.0010586517978662703,0.6683151651005589,0,0,0
1970-01-01 00:03:15.018529375,0.016934066393819575,0.05371916850419841,-0.24113233577871254,1.160647208632136,0,0,0
1970-01-01 00:03:20.018529375,-0.012834627847952095,0.017990341976327946,-0.1602690955750579,0.8136222692153494,0,0,0
1970-01-01 00:03:25.018529375,0.012826212308451787,0.02272944461216953,-0.019454233938742013,1.0947593973314542,0,0,0
1970-01-01 00:03:30.018529375,-0.055420876909964084,-0.04759752002666707,-0.07309723521690756,1.1952746907660081,0,0,0
1970-01-01 00:03:35.018529375,-0.02077102097863912,0.021544669466427864,-0.007331357153558481,0.18270062910415166,0,0,0
1970-01-01 00:03:40.018529375,-0.0006733063001796426,0.030144022471539317,-0.023697021671613368,0.3761048785353094,0,0,0
