,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,gyr_x,gyr_y,gyr_z,magn_x,magn_y,magn_z,orient_yaw,orient_qx,orient_qz,orient_roll,orient_qw,orient_qy,orient_pitch,textwalking
2022-06-19 19:10:10.998231300,-0.8278521474384343,-0.7084474321547609,1.0279747494391525,1.9784962006375768,-5.744604941659593,-7.6967470623953975,-0.009117108232413356,0.1164832563103678,0.39797998448977095,-7.328851993267352,-14.980135404146635,-12.649162879356973,1.0136114494286426,0.16729671165817925,0.3707546688170341,0.2515570928996975,0.636879421464694,0.19732982319122466,0.6258852482524163,0.0
2022-06-19 19:10:11.248231300,-0.4793552841256261,-0.9317170901958944,0.6900695450674295,1.6026608043074904,-5.979642658404349,-7.6045178605710255,0.06318924695253372,0.06305574908852578,0.2744817192852497,-8.39775779724121,-14.958591003417967,-12.48063720703125,2.6472959995305256,-0.016804368415476785,0.9210902122235888,0.2076282050155999,0.19801862883424615,0.3346283707642971,0.6557868484805716,0.0
2022-06-19 19:10:11.498231300,-0.17762994789153336,-0.21825039645159244,0.9769740715988872,1.4346815700043145,-6.328370685736298,-7.347280274933099,0.2566239307448268,0.6052267038822174,0.7372676253318786,-7.222163619995118,-14.79997802734375,-13.41655517578125,2.7925018224159084,-0.029987877577083176,0.9256805802200267,0.19285887145575994,0.1297892023981047,0.3525313531385772,0.7017909944572662,0.0
2022-06-19 19:10:11.748231300,-0.6005291736113428,0.2767344535536766,-0.5588769036307335,2.3116231431437733,-6.804632948901772,-6.608135745002746,-1.2011315808445215,,1.9671275758743283,7.191682319641114,-12.665106811523435,-14.5403271484375,-0.2941327703245218,-0.1651485165768823,0.9000803155024422,0.33339850711057506,-0.09730679131180647,0.3528833224931269,0.7676504937218029,0.0
2022-06-19 19:10:11.998231300,-0.934994022200808,0.334385192868948,-0.5836898110861778,0.9098668177933532,-6.474027905855179,-7.1746308159452665,-0.025775377452373502,-0.3795456558465958,1.9419619321823116,20.328097305297845,-9.593565063476564,-14.23835205078125,-2.168350098337123,-0.2190281204891368,0.8099483404116719,0.12445641442047005,-0.45294902272252396,0.28898584613277306,0.7212552786007427,0.0
2022-06-19 19:10:12.248231300,-0.4852971858656555,0.030196845057845118,-0.7623431983543634,-0.5891427003519908,-6.610498499385238,-7.218853591078398,0.25342004023492337,0.7955878388881683,0.8877664589881897,14.3591455078125,-17.352656860351562,-30.7469580078125,-1.5679403434512724,-0.2282688418808757,0.6649326179946753,-0.08148736057799404,-0.6458381344204547,0.2804319459286181,0.7397676947080156,0.0
2022-06-19 19:10:12.498231300,1.3970940330958814,0.27496894025719165,0.14219741167294978,-1.0212941374779492,-6.4474420032230615,-7.313818734836099,0.07441860765218734,0.20697848681360484,0.6804662466049194,13.838230667114258,-21.424872436523444,-33.8218896484375,-0.9805442777587259,-0.2784647060145853,0.460421303184802,-0.13873579231445887,-0.8110669428110309,0.22220140190503565,0.7175551955932624,0.0
2022-06-19 19:10:12.748231300,1.012941170621246,0.2734011590255499,-0.6740727007036209,-1.3467706585296688,-6.561424519899965,-7.162610123283862,0.13390015995129942,0.6483041226863862,0.7445279669761657,12.499493370056152,-26.30510009765625,-31.27906982421875,-0.5637677413691508,-0.3180798025509229,0.2900156092271185,-0.1858625308704272,-0.8821356937005355,0.18217233929558435,0.7329704613235866,0.0
2022-06-19 19:10:12.998231300,0.6315364056622683,0.31878442053759104,-0.08908534454584123,-1.434659364017725,-6.545366581308246,-7.1597850822292575,0.007626956403255459,0.38877869009971616,0.5255014145374298,11.766778144836426,-29.81049530029297,-28.363388671875,-0.21842987474516626,-0.3431759734422233,0.1362019281446969,-0.1977367155502614,-0.9192409390602916,0.13041474552799634,0.7307994117122351,0.0
2022-06-19 19:10:13.248231300,1.3225304948478342,-0.2979836245712042,0.4139537494817972,-1.4959424743312002,-6.188423285863756,-7.456599592878461,-0.21772788567468526,0.3901044738292694,0.5923307067155839,10.580256843566897,-30.431065368652344,-27.95594970703125,0.02001803250348641,-0.3339657346243369,0.023613486244448336,-0.19802380410372197,-0.9372987599054586,0.09003288156743787,0.6830386027408549,0.0
