"Time","lat","long","alt","alt_WGS84","speed","dir","dist","horizontal_acc","vertical_acc","sattelites"
2.899775279E1,5.234128786E1,4.864835831E0,-5.121087749E-1,4.220701768E1,5.510670185E0,9.221841322E1,2.291000784E-1,7.591613090E0,7.591613090E0,-1.000000000E0
2.999767172E1,5.234129895E1,4.864928937E0,-6.598718027E-1,4.205918564E1,5.736814976E0,8.589083293E1,2.351177702E-1,9.456950588E0,9.456950588E0,-1.000000000E0
3.099759352E1,5.234131739E1,4.865012216E0,-7.229212858E-1,4.199606245E1,5.736814976E0,7.667131908E1,2.405437831E-1,7.290476902E0,7.290476902E0,-1.000000000E0
3.199752033E1,5.234131810E1,4.865092078E0,-8.222819418E-1,4.189665499E1,5.548356056E0,8.629106599E1,2.491953178E-1,4.377323145E0,4.377323145E0,-1.000000000E0
3.299745166E1,5.234135870E1,4.865200715E0,-3.941604467E-1,4.232465706E1,6.480878961E0,8.086683363E1,2.554465933E-1,4.750186882E0,4.750186882E0,-1.000000000E0
3.399738693E1,5.234138797E1,4.865279275E0,-5.725828717E-1,4.214614840E1,6.102540680E0,7.064400358E1,2.622935014E-1,4.752525652E0,4.752525652E0,-1.000000000E0
3.499732792E1,5.234139521E1,4.865379362E0,-4.579254622E-1,4.226073821E1,6.284699376E0,7.897004935E1,2.684476760E-1,4.753791604E0,4.753791604E0,-1.000000000E0
3.599726677E1,5.234140001E1,4.865469610E0,5.797604006E-2,4.277658119E1,5.822068394E0,8.423307439E1,2.754393110E-1,4.747552283E0,4.747552283E0,-1.000000000E0
3.699721169E1,5.234141077E1,4.865571009E0,1.857879590E-1,4.290431981E1,5.996372862E0,7.893573765E1,2.818224993E-1,4.751799383E0,4.751799383E0,-1.000000000E0
3.799715912E1,5.234141127E1,4.865664966E0,5.441178177E-1,4.326259507E1,6.066120610E0,8.338266578E1,2.868912378E-1,4.750344897E0,4.750344897E0,-1.000000000E0
3.899711049E1,5.234142157E1,4.865737646E0,1.213533711E0,4.393195477E1,5.371503380E0,7.562895931E1,2.936228873E-1,4.753268384E0,4.753268384E0,-1.000000000E0
3.999706328E1,5.234143223E1,4.865835188E0,1.102351476E0,4.382070159E1,5.858332896E0,7.715540628E1,2.996966461E-1,4.754395084E0,4.754395084E0,-1.000000000E0
4.099701941E1,5.234143696E1,4.865924257E0,1.582087824E0,4.430038019E1,5.677837352E0,7.930119069E1,3.067500857E-1,4.755483142E0,4.755483142E0,-1.000000000E0
4.199697757E1,5.234143895E1,4.866028033E0,2.151821660E0,4.487005171E1,6.027309054E0,8.087365686E1,3.126497117E-1,4.762487294E0,4.762487294E0,-1.000000000E0
4.299693716E1,5.234144279E1,4.866114647E0,2.277550553E0,4.499572551E1,5.528996510E0,8.271288426E1,3.169548832E-1,4.760347670E0,4.760347670E0,-1.000000000E0
4.399689972E1,5.234145963E1,4.866171708E0,1.121743535E0,4.383986206E1,5.634693450E0,7.638840305E1,3.224381150E-1,4.701458653E0,4.701458653E0,-1.000000000E0
4.499686599E1,5.234146549E1,4.866251848E0,-3.093144828E-1,4.240874982E1,5.245804699E0,7.835955391E1,3.297370738E-1,4.688426023E0,4.688426023E0,-1.000000000E0
4.599682987E1,5.234147229E1,4.866358711E0,-1.282614282E0,4.143537916E1,6.125208971E0,8.062771546E1,3.338159252E-1,4.679388667E0,4.679388667E0,-1.000000000E0
4.699679661E1,5.234148106E1,4.866417010E0,-1.161533618E0,4.155641404E1,4.866721450E0,7.789609840E1,3.398688480E-1,4.672012198E0,4.672012198E0,-1.000000000E0
4.799676609E1,5.234150345E1,4.866498224E0,-1.726463191E0,4.099140639E1,5.205514486E0,6.787660225E1,3.463395417E-1,4.673366317E0,4.673366317E0,-1.000000000E0
4.899673653E1,5.234149587E1,4.866592660E0,-2.132552108E0,4.058527396E1,5.140242904E0,8.129185833E1,3.529315792E-1,4.680423857E0,4.680423857E0,-1.000000000E0
4.999670827E1,5.234149841E1,4.866689606E0,-2.288759219E0,4.042900767E1,5.371635423E0,8.389436118E1,3.604752523E-1,4.691182203E0,4.691182203E0,-1.000000000E0
5.099668193E1,5.234150078E1,4.866800580E0,-2.140273736E0,4.057742614E1,6.100701454E0,8.505673778E1,3.678239626E-1,4.697374884E0,4.697374884E0,-1.000000000E0
5.199665594E1,5.234151464E1,4.866906347E0,-5.697094183E-1,4.214791029E1,6.253557636E0,7.838235743E1,3.738829287E-1,4.708070553E0,4.708070553E0,-1.000000000E0
5.299663198E1,5.234152019E1,4.866995072E0,2.345121903E-1,4.295207319E1,5.673165907E0,7.933021489E1,3.802017481E-1,4.717814585E0,4.717814585E0,-1.000000000E0
5.399660826E1,5.234152460E1,4.867087804E0,-1.074926623E0,4.164257497E1,5.341982459E0,7.998986548E1,3.866647199E-1,4.718125064E0,4.718125064E0,-1.000000000E0
5.499658537E1,5.234153297E1,4.867181948E0,7.690758538E-1,4.348651167E1,5.598158717E0,7.760725940E1,3.924966766E-1,4.721459865E0,4.721459865E0,-1.000000000E0
5.599656391E1,5.234153737E1,4.867267491E0,9.882363258E-1,4.370561688E1,5.385917610E0,7.847883012E1,3.973476919E-1,4.725489788E0,4.725489788E0,-1.000000000E0
5.699654293E1,5.234155161E1,4.867334987E0,9.881483130E-1,4.370547011E1,4.700946240E0,7.371096619E1,4.010534233E-1,4.726905141E0,4.726905141E0,-1.000000000E0
