"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.654607422516831E9,"2022-06-07 15:10:22.517 UTC+02:00"
"PAUSE",4.575179341666626E1,1.654607468268122E9,"2022-06-07 15:11:08.268 UTC+02:00"
"START",4.575179341666626E1,1.654607490333703E9,"2022-06-07 15:11:30.334 UTC+02:00"
"PAUSE",7.046315955833325E2,1.654608149215851E9,"2022-06-07 15:22:29.216 UTC+02:00"
"START",7.046315955833325E2,1.654608153256235E9,"2022-06-07 15:22:33.256 UTC+02:00"
"PAUSE",7.115740512083321E2,1.654608160198636E9,"2022-06-07 15:22:40.199 UTC+02:00"
