,"x","y","z","abs"
6.944422917E-1,3.914361508E-1,2.834203899E-2,4.114299738E-1,5.685948951E-1
7.044162917E-1,5.098324737E-1,2.590304840E-1,5.434367144E-1,7.888912507E-1
7.143912917E-1,8.860939305E-1,3.204698101E-1,4.045173955E-1,1.025425607E0
7.243662917E-1,1.080440615E0,-1.277286252E-1,2.089350486E-1,1.107844925E0
7.343402917E-1,-7.247740746E-2,-1.520237478E0,7.169177556E-1,1.682363228E0
7.443152917E-1,5.233025582E-1,-2.382210621E0,7.097666109E-1,2.540185357E0
7.542902917E-1,1.757531084E0,-3.073718716E0,1.332010928E0,3.782977051E0
7.642642917E-1,1.826826144E0,-3.911943685E0,2.526435703E0,5.002346901E0
7.742392917E-1,1.266069100E0,-2.759596936E0,1.025435565E0,3.204656660E0
7.842142917E-1,5.744449376E-1,-5.018489778E-1,-1.407337099E-1,7.756580174E-1
7.941882917E-1,-6.958340116E-2,2.745858318E-1,-1.117894077E-1,3.045260258E-1
8.041632917E-1,-1.897700684E-1,1.323058257E-1,2.013634890E-1,3.066997963E-1
8.141382917E-1,8.576618443E-1,2.403056529E-1,-1.121232837E-1,8.977206006E-1
8.241122917E-1,8.289159089E-1,3.464182913E-3,-1.234583452E0,1.487047371E0
8.340872917E-1,4.227514990E-1,-7.302517462E-1,-5.934280694E-1,1.031573224E0
8.440622917E-1,-1.208097611E-1,-9.897266185E-1,-1.412500191E-1,1.007027977E0
8.540372917E-1,-3.102123320E-2,-1.861805212E0,-9.120919669E-1,2.073449473E0
8.640112917E-1,1.178226525E0,-1.792057284E0,7.120505333E-2,2.145869804E0
8.739862917E-1,2.949732309E0,1.364516477E0,2.003554291E0,3.817991056E0
8.839612917E-1,3.644209912E-1,1.837103064E0,1.834686702E-1,1.881863725E0
8.939352917E-1,-1.853262430E0,1.075775121E0,-1.143632936E0,2.428944223E0
9.039102917E-1,-1.004490253E0,2.156757188E-1,-1.872300087E0,2.135655473E0
9.138852917E-1,1.163103579E0,1.311673728E-1,-1.639162243E0,2.014166745E0
9.238592917E-1,1.791438941E0,-6.003856713E-1,-1.569830053E0,2.456437019E0
9.338342917E-1,1.327589264E0,-1.446534202E0,-5.608672643E-1,2.041941855E0
9.438092917E-1,7.247211573E-1,-7.347160953E-1,8.595968342E-1,1.343106553E0
9.537832917E-1,-3.513135803E-1,8.561379138E-1,1.782370495E0,2.008292294E0
9.637582917E-1,-1.844229358E-1,2.048426701E0,2.706740445E-1,2.074446482E0
9.737332917E-1,1.132024751E0,1.843828824E0,-5.205822873E-1,2.225351812E0
9.837072917E-1,2.005496443E0,1.726183138E0,-5.540996969E-1,2.703470119E0
9.936822917E-1,2.105862146E0,1.218657098E0,8.644874454E-1,2.582076498E0
1.003657292E0,3.970319947E0,4.130417588E-1,2.023633044E0,4.475392125E0
1.013632292E0,5.281139688E0,-1.760681418E-1,3.943590277E0,6.593431631E0
1.023606292E0,5.148529515E0,-6.788877574E-1,3.999154614E0,6.554500925E0
1.033581292E0,3.779993370E0,7.106542182E-1,3.069233902E0,4.920729218E0
1.043556292E0,2.284040255E0,1.709460978E0,2.077861292E0,3.529391487E0
1.053530292E0,1.675583526E0,8.592082867E-1,1.876709472E0,2.658544240E0
1.063505292E0,1.745604518E0,4.681924045E-2,1.373306889E0,2.221553282E0
1.073480292E0,1.623106227E0,-1.614638436E-1,7.882572949E-1,1.811599835E0
1.083454292E0,1.105559084E0,-2.012941995E-1,4.076871711E-1,1.195403309E0
1.093429292E0,4.287690148E-2,-4.028939161E-1,2.077164888E-1,4.553109663E-1
1.103404292E0,-3.900627860E-1,-4.317434934E-1,-2.800816298E-2,5.825254315E-1
1.113378292E0,-1.020714815E0,-3.478643078E-1,-3.567725408E-1,1.135849883E0
1.123353292E0,-9.383183371E-1,-5.941882074E-2,-1.261998707E-1,9.486296987E-1
1.133328292E0,-2.088138650E-1,-3.558872724E-1,3.288439000E-1,5.276336716E-1
1.143302292E0,8.458542694E-1,9.851388931E-2,3.313266277E-1,9.137569511E-1
1.153277292E0,1.664795559E0,5.960213095E-1,1.326177746E-1,1.773238035E0
1.163252292E0,2.086034237E0,5.215061474E-1,-1.503541338E-1,2.155484601E0
1.173227292E0,2.312513710E0,5.853407854E-1,-4.492556119E-1,2.427380090E0
1.183201292E0,2.258792563E0,8.333609623E-1,-4.097167397E-1,2.442233024E0
1.193176292E0,2.006142707E0,9.833590007E-1,-3.288474083E-2,2.234431671E0
1.203151292E0,1.733653540E0,1.212568100E0,3.494945115E-1,2.144299981E0
1.213125292E0,1.628462715E0,1.303253737E0,5.275030518E-1,2.151422922E0
1.223100292E0,1.482287294E0,1.362115026E0,3.989695573E-1,2.052245033E0
1.233075292E0,1.369116043E0,1.455520203E0,1.626186687E-1,2.004859754E0
1.243049292E0,1.268459442E0,1.453526302E0,-3.210121393E-4,1.929178107E0
1.253024292E0,1.105586565E0,1.375701031E0,-7.932859004E-2,1.766682769E0
1.262999292E0,9.793519038E-1,1.481349401E0,-1.026472861E-1,1.778781230E0
1.272973292E0,7.463093698E-1,1.439811366E0,9.238366842E-2,1.624367319E0
1.282948292E0,5.032056780E-1,1.440021865E0,6.036940259E-1,1.640525953E0
1.292923292E0,5.860776807E-1,1.669319842E0,8.586051464E-1,1.966549918E0
1.302897292E0,8.071053560E-1,1.836036825E0,9.009091669E-1,2.198655863E0
1.312872292E0,9.890752387E-1,1.961801662E0,7.665559387E-1,2.326917188E0
1.322847292E0,1.135892392E0,1.997463246E0,4.306433398E-1,2.337854707E0
1.332822292E0,1.059508898E0,1.543009459E0,1.242240965E-1,1.875864847E0
1.342796292E0,6.007150157E-1,1.122146465E0,-2.646566749E-2,1.273095303E0
1.352771292E0,1.343203011E-1,1.305467201E0,-2.709921330E-1,1.340046003E0
1.362746292E0,-4.432481825E-2,1.376551801E0,-3.246724963E-1,1.415016530E0
1.372720292E0,-3.928850178E-2,1.289076870E0,-1.767385250E-1,1.301729338E0
1.382695292E0,-5.185639746E-3,1.506566980E0,-1.256823921E-1,1.511809188E0
1.392670292E0,-9.213530794E-2,1.861851405E0,-1.688921463E-1,1.871764976E0
1.402644292E0,-3.037420955E-1,2.066296084E0,-4.689525425E-2,2.089027987E0
1.412619292E0,-5.475350279E-1,2.162209716E0,7.129860878E-2,2.231597848E0
1.422594292E0,-5.760638854E-1,2.072749948E0,3.028857708E-3,2.151313813E0
1.432568292E0,-6.330342577E-1,1.931213123E0,-1.068900257E-1,2.035127017E0
1.442543292E0,-6.475751866E-1,1.904030587E0,-1.954823595E-1,2.020618581E0
1.452518292E0,-3.970531324E-1,1.603673152E0,-3.933913136E-1,1.698286046E0
1.462493292E0,-2.139345641E-1,1.436722866E0,-6.541958427E-1,1.593082795E0
1.472466583E0,-1.855458936E-1,1.462375771E0,-7.692129135E-1,1.662726279E0
1.482441583E0,-1.040586577E-1,1.379319581E0,-4.442808008E-1,1.452837272E0
1.492416583E0,-2.651685255E-1,1.754995877E0,2.064388722E-1,1.786880490E0
1.502390583E0,-3.518904081E-1,2.205538169E0,7.164797992E-1,2.345542321E0
1.512365583E0,-3.107058370E-1,2.009616976E0,7.789105207E-1,2.177567475E0
1.522340583E0,-3.662214951E-1,1.739520636E0,4.156551719E-1,1.825601120E0
1.532314583E0,-4.405518852E-1,1.719833938E0,-3.809414220E-1,1.815772868E0
1.542289583E0,-4.189898390E-1,1.385476407E0,-1.207851736E0,1.885206401E0
1.552264583E0,-1.806352557E-1,4.552650878E-1,-1.703863438E0,1.772863788E0
1.562238583E0,-2.693233377E-1,-2.872930008E-1,-1.892263066E0,1.932804139E0
1.572213583E0,-7.031993106E-1,-5.480405197E-1,-1.830012438E0,2.035628455E0
1.582188583E0,-1.390089421E0,-4.602252808E-1,-1.492328718E0,2.090741713E0
1.592163583E0,-1.907275499E0,-1.287182665E-1,-9.569623303E-1,2.137766387E0
1.602137583E0,-1.937451956E0,9.416473031E-2,-6.281909359E-1,2.038923964E0
1.612112583E0,-1.643498246E0,2.151561937E-1,-5.986759454E-1,1.762325611E0
1.622087583E0,-1.147297094E0,1.635358045E-1,-9.395510763E-1,1.491908444E0
1.632061583E0,-9.755960910E-1,-3.730418336E-1,-8.820086271E-1,1.367072478E0
1.642036583E0,-1.276576400E0,-6.463266599E-1,-5.204524791E-1,1.522582096E0
1.652011583E0,-1.630200946E0,-4.707394516E-1,-1.835826910E-1,1.706708341E0
1.661985583E0,-1.952796804E0,-1.645383096E-1,-5.567952633E-2,1.960507185E0
1.671960583E0,-2.384084069E0,1.888065934E-1,-7.825211763E-2,2.392828487E0
1.681935583E0,-2.742599664E0,4.327144235E-1,-7.265691698E-2,2.777476142E0
1.691909583E0,-2.588120905E0,4.158419904E-1,2.003957748E-2,2.621391989E0
1.701884583E0,-2.195500839E0,1.306200734E-1,1.688278270E-1,2.205853207E0
1.711859583E0,-2.050799501E0,-1.300929469E-1,4.767164755E-1,2.109493154E0
1.721834583E0,-2.011429321E0,-4.014022914E-1,5.663133609E-1,2.127835175E0
1.731808583E0,-1.798157538E0,-9.615708134E-1,4.724263734E-1,2.093125806E0
