"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.654597234215345E9,"2022-06-07 12:20:34.215 UTC+02:00"
"PAUSE",1.364817862500013E1,1.654597247863647E9,"2022-06-07 12:20:47.864 UTC+02:00"
