"Time (s)","Peak-Frequency"
1.388325537E1,3.281250000E2
1.394779629E1,3.046875000E2
1.401183350E1,3.046875000E2
1.407568900E1,3.281250000E2
1.413969400E1,1.875000000E2
1.420190187E1,1.875000000E2
1.426721425E1,9.375000000E1
1.433173817E1,5.859375000E2
1.439572438E1,5.859375000E2
1.445980983E1,9.375000000E1
1.452173908E1,9.375000000E1
1.458511479E1,9.375000000E1
1.465176025E1,9.375000000E1
1.471567742E1,9.375000000E1
1.477978996E1,9.375000000E1
1.484229112E1,9.375000000E1
1.490769596E1,9.375000000E1
1.496846013E1,4.687500000E1
1.503505738E1,7.031250000E1
1.509931312E1,7.031250000E1
1.516021913E1,4.453125000E2
1.522778896E1,1.875000000E2
1.528941125E1,1.875000000E2
1.535179871E1,1.875000000E2
1.541850821E1,1.875000000E2
1.548324571E1,1.875000000E2
1.554775479E1,7.031250000E1
1.561121113E1,7.031250000E1
1.567243183E1,1.875000000E2
1.573888750E1,1.875000000E2
1.580184854E1,1.875000000E2
1.586641850E1,3.281250000E2
1.593030925E1,9.375000000E1
1.599568167E1,9.375000000E1
1.605960617E1,9.375000000E1
1.612368983E1,4.687500000E1
1.618525637E1,4.687500000E1
1.625168867E1,9.375000000E1
1.631563458E1,9.375000000E1
1.637978242E1,7.031250000E1
1.644031313E1,7.031250000E1
1.650768796E1,7.031250000E1
1.656855375E1,2.343750000E1
1.663522504E1,7.031250000E1
1.669945204E1,7.031250000E1
1.676370700E1,2.343750000E1
1.682769625E1,2.343750000E1
1.689169167E1,2.343750000E1
1.695189779E1,2.343750000E1
1.701860529E1,2.343750000E1
1.708313487E1,2.343750000E1
1.714778279E1,4.687500000E1
1.721174929E1,4.687500000E1
1.727571833E1,2.343750000E1
1.733970779E1,4.687500000E1
1.740192867E1,4.687500000E1
1.746724492E1,2.343750000E1
1.753170975E1,2.343750000E1
1.759579600E1,2.343750000E1
1.765632183E1,4.687500000E1
1.772376233E1,4.687500000E1
1.778537092E1,4.687500000E1
1.785200375E1,7.031250000E1
1.791467208E1,7.031250000E1
1.797839367E1,7.031250000E1
1.804373004E1,1.171875000E2
1.810767125E1,1.171875000E2
1.816862996E1,3.046875000E2
1.823530754E1,2.343750000E1
1.829540729E1,2.343750000E1
1.836374437E1,2.343750000E1
1.842497833E1,1.875000000E2
1.848914038E1,1.875000000E2
1.855198304E1,9.375000000E1
1.861864633E1,9.375000000E1
1.868311187E1,9.375000000E1
1.874777533E1,7.031250000E1
1.881171358E1,7.031250000E1
1.887572821E1,9.375000000E1
