"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.654604341374055E9,"2022-06-07 14:19:01.374 UTC+02:00"
"PAUSE",2.798497568750008E2,1.654604621220107E9,"2022-06-07 14:23:41.220 UTC+02:00"
"START",2.798497568750008E2,1.654604629604438E9,"2022-06-07 14:23:49.604 UTC+02:00"
"PAUSE",2.072529931125000E3,1.654606422260885E9,"2022-06-07 14:53:42.261 UTC+02:00"
