"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.907812500E4,2.355063241E-3
1.910156250E4,9.895254246E-4
1.912500000E4,2.203587960E-4
1.914843750E4,1.332838197E-3
1.917187500E4,1.666738266E-3
1.919531250E4,2.155263264E-3
1.921875000E4,2.062590665E-3
1.924218750E4,2.604141784E-3
1.926562500E4,2.021247718E-3
1.928906250E4,2.899532944E-3
1.931250000E4,2.293684296E-3
1.933593750E4,2.370722503E-3
1.935937500E4,1.712076636E-3
1.938281250E4,9.738003849E-4
1.940625000E4,2.498875925E-3
1.942968750E4,1.387957849E-3
1.945312500E4,1.674912373E-3
1.947656250E4,8.721901203E-4
1.950000000E4,4.164232567E-4
1.952343750E4,2.332457931E-3
1.954687500E4,1.445651309E-3
1.957031250E4,1.446911084E-3
1.959375000E4,2.013698487E-3
1.961718750E4,2.106879234E-3
1.964062500E4,1.554179147E-3
1.966406250E4,2.003048661E-3
1.968750000E4,1.798098107E-3
1.971093750E4,2.069246088E-3
1.973437500E4,1.030695478E-3
1.975781250E4,1.889150476E-3
1.978125000E4,2.410477807E-3
1.980468750E4,2.008915969E-3
1.982812500E4,1.912290827E-3
1.985156250E4,2.156435085E-3
1.987500000E4,1.735734031E-3
1.989843750E4,9.919132203E-4
1.992187500E4,1.756139621E-3
1.994531250E4,1.730364430E-3
1.996875000E4,8.900986552E-4
1.999218750E4,1.625988514E-3
2.001562500E4,1.118204471E-3
2.003906250E4,1.857166985E-3
2.006250000E4,1.106907176E-3
2.008593750E4,1.491628698E-3
2.010937500E4,2.200800562E-3
2.013281250E4,1.234724459E-3
2.015625000E4,1.801188370E-3
2.017968750E4,1.941478095E-3
2.020312500E4,1.820785539E-3
2.022656250E4,1.208327104E-3
2.025000000E4,1.705883209E-3
2.027343750E4,1.642529989E-3
2.029687500E4,1.809725566E-3
2.032031250E4,1.627253150E-3
2.034375000E4,2.115561371E-3
2.036718750E4,1.459290272E-3
2.039062500E4,1.398518608E-3
2.041406250E4,1.855905761E-3
2.043750000E4,1.395617204E-3
2.046093750E4,1.849964215E-3
2.048437500E4,1.602718296E-3
2.050781250E4,1.258952239E-3
2.053125000E4,1.584291185E-3
2.055468750E4,1.279182614E-3
2.057812500E4,1.491314060E-3
2.060156250E4,1.787338403E-3
2.062500000E4,1.751551024E-3
2.064843750E4,1.508678746E-3
2.067187500E4,1.567139104E-3
2.069531250E4,1.408502602E-3
2.071875000E4,1.368121735E-3
2.074218750E4,1.279902740E-3
2.076562500E4,1.240905570E-3
2.078906250E4,1.345214928E-3
2.081250000E4,1.359749208E-3
2.083593750E4,1.611580210E-3
2.085937500E4,1.649751466E-3
2.088281250E4,1.493570453E-3
2.090625000E4,1.526502416E-3
2.092968750E4,1.645543969E-3
2.095312500E4,1.739943699E-3
2.097656250E4,1.449610206E-3
2.100000000E4,1.589627972E-3
2.102343750E4,1.675362540E-3
2.104687500E4,1.699177849E-3
2.107031250E4,1.415051507E-3
2.109375000E4,1.674787057E-3
2.111718750E4,1.585276132E-3
2.114062500E4,1.581149636E-3
2.116406250E4,1.619154827E-3
2.118750000E4,1.578688292E-3
2.121093750E4,1.567616206E-3
2.123437500E4,1.697699049E-3
2.125781250E4,1.580619474E-3
2.128125000E4,1.582844046E-3
2.130468750E4,1.671359298E-3
2.132812500E4,1.502787857E-3
2.135156250E4,1.576240032E-3
2.137500000E4,1.610957499E-3
2.139843750E4,1.559131228E-3
2.142187500E4,1.621741100E-3
2.144531250E4,1.519213011E-3
2.146875000E4,1.608549785E-3
2.149218750E4,1.522348144E-3
2.151562500E4,1.515273564E-3
2.153906250E4,1.621529055E-3
2.156250000E4,1.589522658E-3
2.158593750E4,1.531000810E-3
2.160937500E4,1.464828356E-3
2.163281250E4,1.538190385E-3
2.165625000E4,1.571376575E-3
2.167968750E4,1.563316780E-3
2.170312500E4,1.557606149E-3
2.172656250E4,1.533971409E-3
2.175000000E4,1.534795974E-3
2.177343750E4,1.553330326E-3
2.179687500E4,1.508661290E-3
2.182031250E4,1.554465582E-3
2.184375000E4,1.543794519E-3
2.186718750E4,1.567740982E-3
2.189062500E4,1.549646261E-3
2.191406250E4,1.553888099E-3
2.193750000E4,1.527040567E-3
2.196093750E4,1.516587968E-3
2.198437500E4,1.578253166E-3
2.200781250E4,1.482703145E-3
2.203125000E4,1.509258430E-3
2.205468750E4,1.572376163E-3
2.207812500E4,1.510737097E-3
2.210156250E4,1.558979396E-3
2.212500000E4,1.497482726E-3
2.214843750E4,1.549265395E-3
2.217187500E4,1.501209711E-3
2.219531250E4,1.545640608E-3
2.221875000E4,1.490266963E-3
2.224218750E4,1.531854507E-3
2.226562500E4,1.494813033E-3
2.228906250E4,1.511437944E-3
2.231250000E4,1.541015942E-3
2.233593750E4,1.519890103E-3
2.235937500E4,1.521098268E-3
2.238281250E4,1.505463137E-3
2.240625000E4,1.525223843E-3
2.242968750E4,1.563874501E-3
2.245312500E4,1.523442049E-3
2.247656250E4,1.576145147E-3
2.250000000E4,1.556479289E-3
2.252343750E4,1.533513273E-3
2.254687500E4,1.540080693E-3
2.257031250E4,1.536614276E-3
2.259375000E4,1.528509475E-3
2.261718750E4,1.535382383E-3
2.264062500E4,1.532564259E-3
2.266406250E4,1.510700405E-3
2.268750000E4,1.554635414E-3
2.271093750E4,1.556101958E-3
2.273437500E4,1.532663557E-3
2.275781250E4,1.564232240E-3
2.278125000E4,1.620795952E-3
2.280468750E4,1.353617390E-3
2.282812500E4,1.487760640E-3
2.285156250E4,1.491736502E-3
2.287500000E4,1.515789317E-3
2.289843750E4,1.513126460E-3
2.292187500E4,1.523525248E-3
2.294531250E4,1.519182721E-3
2.296875000E4,1.516568115E-3
2.299218750E4,1.501982700E-3
2.301562500E4,1.527669119E-3
2.303906250E4,1.513376821E-3
2.306250000E4,1.526133190E-3
2.308593750E4,1.506853537E-3
2.310937500E4,1.514928823E-3
2.313281250E4,1.523512051E-3
2.315625000E4,1.518442798E-3
2.317968750E4,1.514684508E-3
2.320312500E4,1.534034033E-3
2.322656250E4,1.521364924E-3
2.325000000E4,1.518996439E-3
2.327343750E4,1.528220858E-3
2.329687500E4,1.523816252E-3
2.332031250E4,1.522486900E-3
2.334375000E4,1.523816987E-3
2.336718750E4,1.524707268E-3
2.339062500E4,1.525273435E-3
2.341406250E4,1.533469575E-3
2.343750000E4,1.517713138E-3
2.346093750E4,1.516310778E-3
2.348437500E4,1.521320109E-3
2.350781250E4,1.522462013E-3
2.353125000E4,1.524278959E-3
2.355468750E4,1.523178162E-3
2.357812500E4,1.517656964E-3
2.360156250E4,1.520095906E-3
2.362500000E4,1.521284859E-3
2.364843750E4,1.524779266E-3
2.367187500E4,1.523540943E-3
2.369531250E4,1.518136724E-3
2.371875000E4,1.517881280E-3
2.374218750E4,1.524490756E-3
2.376562500E4,1.527977359E-3
2.378906250E4,1.522147130E-3
2.381250000E4,1.523745609E-3
2.383593750E4,1.525659727E-3
2.385937500E4,1.524326087E-3
2.388281250E4,1.523393994E-3
2.390625000E4,1.519850802E-3
2.392968750E4,1.524738188E-3
2.395312500E4,1.519887394E-3
2.397656250E4,1.522183304E-3
