"Frequency (Hz)","Absolute Amplitude (a.u.)"
4.382812500E3,7.913525617E-2
4.406250000E3,1.063606389E-1
4.429687500E3,2.358265515E-1
4.453125000E3,4.013441759E-2
4.476562500E3,5.932345923E-2
4.500000000E3,9.002199200E-2
4.523437500E3,9.917192304E-2
4.546875000E3,5.236021648E-2
4.570312500E3,1.097876515E-1
4.593750000E3,4.437780075E-2
4.617187500E3,5.044642269E-3
4.640625000E3,7.087797639E-2
4.664062500E3,1.654765339E-2
4.687500000E3,3.251608812E-2
4.710937500E3,2.527318733E-2
4.734375000E3,3.026286952E-2
4.757812500E3,5.928298708E-2
4.781250000E3,5.859571717E-2
4.804687500E3,8.199660050E-2
4.828125000E3,1.771114333E-1
4.851562500E3,5.971769638E-2
4.875000000E3,7.435439333E-3
4.898437500E3,3.428603193E-2
4.921875000E3,5.673522506E-2
4.945312500E3,2.634684249E-2
4.968750000E3,2.107347340E-2
4.992187500E3,4.336381201E-2
5.015625000E3,5.343547344E-2
5.039062500E3,1.068892850E-1
5.062500000E3,1.263919765E-1
5.085937500E3,7.780808006E-2
5.109375000E3,1.470930703E-1
5.132812500E3,1.283960215E-1
5.156250000E3,1.505094604E-1
5.179687500E3,7.017829316E-2
5.203125000E3,8.516495557E-2
5.226562500E3,5.710145420E-2
5.250000000E3,1.387789692E-2
5.273437500E3,5.429441515E-2
5.296875000E3,4.379944556E-2
5.320312500E3,3.181153289E-2
5.343750000E3,1.996095075E-2
5.367187500E3,1.529776411E-2
5.390625000E3,1.958041294E-2
5.414062500E3,6.963939917E-2
5.437500000E3,5.672265215E-2
5.460937500E3,3.208554396E-2
5.484375000E3,4.668545773E-2
5.507812500E3,1.202786370E-1
5.531250000E3,2.653237927E-1
5.554687500E3,7.825090447E-2
5.578125000E3,6.284219252E-2
5.601562500E3,5.195095101E-2
5.625000000E3,5.070376239E-2
5.648437500E3,3.260161167E-2
5.671875000E3,4.525151933E-2
5.695312500E3,1.036734023E-1
5.718750000E3,1.879864781E-2
5.742187500E3,1.654751663E-2
5.765625000E3,1.887697537E-2
5.789062500E3,1.964670821E-2
5.812500000E3,2.747861113E-2
5.835937500E3,2.908569630E-2
5.859375000E3,5.804300335E-2
5.882812500E3,1.303356963E-2
5.906250000E3,2.950036623E-2
5.929687500E3,3.215668256E-2
5.953125000E3,4.807341275E-2
5.976562500E3,3.238795535E-2
6.000000000E3,4.113415113E-2
6.023437500E3,1.459186051E-1
6.046875000E3,2.487966952E-2
6.070312500E3,2.440499365E-2
6.093750000E3,2.073856522E-2
6.117187500E3,5.459005075E-2
6.140625000E3,1.403018662E-1
6.164062500E3,1.405837164E-2
6.187500000E3,1.316897765E-1
6.210937500E3,1.151761648E-1
6.234375000E3,4.099922286E-2
6.257812500E3,3.094472220E-2
