"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.654601805946911E9,"2022-06-07 13:36:45.947 UTC+02:00"
"PAUSE",3.655947666666179E0,1.654601809602842E9,"2022-06-07 13:36:49.603 UTC+02:00"
"START",3.655947666666179E0,1.654601814861638E9,"2022-06-07 13:36:54.862 UTC+02:00"
