"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.055395603E-2,5.233472407E1,4.864294110E0,1.979204178E0,4.470787214E1,-1.000000000E0,-1.000000000E0,7.614318186E-3,3.500000000E1,3.500000000E1,-1.000000000E0
4.290390015E-1,5.233475910E1,4.864197819E0,1.984974861E0,4.471364866E1,-1.000000000E0,-1.000000000E0,1.290740078E-2,1.337283894E2,1.337283894E2,-1.000000000E0
1.637349010E0,5.233478330E1,4.864130742E0,1.986776829E0,4.471545497E1,-1.000000000E0,-1.000000000E0,1.749273552E-2,1.358469758E2,1.358469758E2,-1.000000000E0
6.025304914E0,5.233480431E1,4.864072663E0,2.236409187E0,4.496509104E1,-1.000000000E0,-1.000000000E0,2.263094365E-2,1.366666667E2,1.366666667E2,-1.000000000E0
1.243629599E1,5.233483965E1,4.864023951E0,-1.970284104E0,4.075837592E1,-1.000000000E0,-1.000000000E0,2.750138787E-2,2.003195889E2,2.003195889E2,-1.000000000E0
1.843337893E1,5.233480591E1,4.864069665E0,2.187846899E0,4.491652820E1,-1.000000000E0,-1.000000000E0,"",9.333333333E1,9.333333333E1,-1.000000000E0
